"CallDecisionYearReporting","FundingInstrumentGaLevel1","FundingInstrumentGaReporting","AmountRequested","AmountGranted","DurationRequestedMonth","IsApproved","TeamSize"
2011,"Careers","Ambizione",259110,304288,24,1,1
2011,"Careers","Ambizione",503100,0,36,0,1
2011,"Careers","Ambizione",320959,0,36,0,1
2011,"Careers","Ambizione",488400,0,36,0,1
2011,"Careers","Ambizione",589888,0,36,0,1
2011,"Careers","Ambizione",363000,0,36,0,1
2011,"Careers","Ambizione",592552,0,36,0,1
2011,"Careers","Ambizione",599294,0,36,0,1
2011,"Careers","Ambizione",436500,0,36,0,1
2011,"Careers","Ambizione",331350,0,36,0,1
2011,"Careers","Ambizione",374425,0,24,0,1
2011,"Careers","Ambizione",388400,0,36,0,1
2011,"Careers","Ambizione",301789,0,36,0,1
2011,"Careers","Ambizione",403539,399950,24,1,1
2011,"Careers","Ambizione",588589,0,36,0,1
2011,"Careers","Ambizione",597001,567857,36,1,1
2011,"Careers","Ambizione",384200,0,36,0,1
2011,"Careers","Ambizione",590370,541195,36,1,1
2011,"Careers","Ambizione",599724,0,36,0,1
2011,"Careers","Ambizione",351274,0,24,0,1
2011,"Careers","Ambizione",393722,0,36,0,1
2011,"Careers","Ambizione",396163,0,36,0,1
2011,"Careers","Ambizione",585602,547495,36,1,1
2011,"Careers","Ambizione",591273,0,36,0,1
2011,"Careers","Ambizione",573064,0,36,0,1
2011,"Careers","Ambizione",503285,407810,36,1,1
2011,"Careers","Ambizione",598800,0,36,0,1
2011,"Careers","Ambizione",228902,228902,24,1,1
2011,"Careers","Ambizione",340564,0,36,0,1
2011,"Careers","Ambizione",435346,0,36,0,1
2011,"Careers","Ambizione",581462,0,36,0,1
2011,"Careers","Ambizione",606781,0,36,0,1
2011,"Careers","Ambizione",572283,405636,36,1,1
2011,"Careers","Ambizione",540961,0,36,0,1
2011,"Careers","Ambizione",536082,544528,36,1,1
2011,"Careers","Ambizione",664380,0,36,0,1
2011,"Careers","Ambizione",368625,0,36,0,1
2011,"Careers","Ambizione",429300,0,36,0,1
2011,"Careers","Ambizione",699691,0,36,0,1
2011,"Careers","Ambizione",470532,510951,36,1,1
2011,"Careers","Ambizione",597880,0,36,0,1
2011,"Careers","Ambizione",400673,425649,36,1,1
2011,"Careers","Ambizione",533030,0,36,0,1
2011,"Careers","Ambizione",401222,0,36,0,1
2011,"Careers","Ambizione",6e+05,0,36,0,1
2011,"Careers","Ambizione",363000,0,36,0,1
2011,"Careers","Ambizione",643650,0,36,0,1
2011,"Careers","Ambizione",516920,514520,36,1,1
2011,"Careers","Ambizione",316487,0,36,0,1
2011,"Careers","Ambizione",561186,0,36,0,1
2011,"Careers","Ambizione",416086,0,36,0,1
2011,"Careers","Ambizione",317520,0,36,0,1
2011,"Careers","Ambizione",365040,0,36,0,1
2011,"Careers","Ambizione",376200,0,36,0,1
2011,"Careers","Ambizione",597148,0,36,0,1
2011,"Careers","Ambizione",404895,0,36,0,1
2011,"Careers","Ambizione",584140,0,36,0,1
2011,"Careers","Ambizione",599238,0,36,0,1
2011,"Careers","Ambizione",410374,0,36,0,1
2011,"Careers","Ambizione",584551,0,36,0,1
2011,"Careers","Ambizione",598904,0,36,0,1
2011,"Careers","Ambizione",598846,0,36,0,1
2011,"Careers","Ambizione",365900,328345,36,1,1
2011,"Careers","Ambizione",599988,0,36,0,1
